feature,mi,lead,selected
lead_11_V6_morph_t_duration_mean,0.23888789077994993,lead11,True
lead_8_V3_morph_t_duration_mean,0.20748104265401435,lead8,True
lead_10_V5_morph_t_duration_mean,0.20313463999656678,lead10,True
lead_9_V4_morph_p_duration_mean,0.1850273183378393,lead9,True
lead_5_AVF_morph_t_duration_mean,0.17658919771242915,lead5,True
lead_7_V2_spec_dominant_frequency,0.17246275345891404,lead7,True
lead_0_I_morph_t_duration_mean,0.1676417876974418,lead0,True
lead_9_V4_spec_dominant_frequency,0.15704261726926894,lead9,True
lead_4_AVL_morph_t_duration_mean,0.15550737783102933,lead4,True
lead_6_V1_morph_t_duration_mean,0.15502523880046942,lead6,True
lead_7_V2_morph_t_duration_mean,0.14876664322094696,lead7,True
lead_9_V4_morph_t_duration_mean,0.14816496141884541,lead9,True
lead_1_II_morph_t_duration_mean,0.14153282628961414,lead1,True
lead_3_AVR_morph_t_duration_mean,0.1390360034903074,lead3,True
lead_2_III_morph_t_duration_mean,0.135249142633679,lead2,True
lead_5_AVF_spec_dominant_frequency,0.12836139279986197,lead5,True
lead_10_V5_morph_st_segment_mean,0.12528629593178975,lead10,True
lead_5_AVF_morph_p_duration_mean,0.12377675036170654,lead5,True
lead_3_AVR_stat_max,0.1210184307399369,lead3,True
lead_4_AVL_nonlin_fractal_dimension,0.11794253609400793,lead4,True
lead_9_V4_stat_skewness,0.11388350974121635,lead9,True
lead_4_AVL_tf_spectrogram_mean,0.11182625105070307,lead4,True
lead_8_V3_morph_p_duration_mean,0.10756277539352888,lead8,True
lead_10_V5_morph_qt_interval_mean,0.10676646687440683,lead10,True
lead_5_AVF_morph_t_amp_mean,0.1060674263323536,lead5,True
lead_10_V5_stat_skewness,0.10305192578506137,lead10,True
lead_0_I_morph_st_segment_mean,0.09836725702828245,lead0,True
lead_9_V4_stat_kurtosis,0.09538556632836141,lead9,True
lead_1_II_stat_skewness,0.09008858708504541,lead1,True
lead_11_V6_morph_st_segment_mean,0.09003273335744413,lead11,True
lead_8_V3_stat_skewness,0.08993132600414203,lead8,True
lead_2_III_morph_q_amp_mean,0.08682683926682735,lead2,True
lead_4_AVL_spec_dominant_frequency,0.08611587419407825,lead4,True
lead_9_V4_morph_t_slope_mean,0.08609852441449115,lead9,True
lead_2_III_morph_qrs_amp_mean,0.08533125957561535,lead2,True
lead_11_V6_nonlin_sd2,0.08232868893611514,lead11,True
lead_10_V5_stat_min,0.08171010550405908,lead10,True
lead_1_II_morph_qrs_amp_mean,0.08167317947648689,lead1,True
lead_2_III_spec_dominant_frequency,0.08145015926603483,lead2,True
lead_10_V5_tf_spectrogram_mean,0.0804808492805225,lead10,True
lead_3_AVR_stat_skewness,0.07978166973861875,lead3,True
lead_1_II_morph_p_duration_mean,0.07954781252472595,lead1,True
